FEN	Rating
5qk1/p4p2/bp2p1p1/4P3/2r2P2/P4R2/6PP/R1Q3K1 w - - 0 24	1398
r6r/pp3pk1/6p1/3pq2p/4p1n1/1P4P1/P1PBQP2/RN2R1K1 b - - 1 20	1344
rnb1k2r/pp1pnp1p/1q2p1p1/2b5/4P3/2B2N2/PPP2PPP/RN1QKB1R w KQkq - 4 7	1005
2r5/7p/4N1pk/2b2p2/R3p3/2P5/2r2PPP/5RK1 w - - 4 38	1398
k7/2Q5/pp6/b3N3/6p1/6P1/q4PP1/6K1 b - - 5 50	906
R7/5pk1/5p1p/5P2/4P3/5K2/pr4PP/8 w - - 0 46	1398
5k2/5p2/2p3P1/1p6/p1qP4/b1P3Q1/2r5/1K4R1 w - - 0 41	1059
8/1RP5/2r2p2/4pkp1/7p/5P1P/4KP2/8 b - - 7 45	935
8/5p1k/6p1/1pP4p/4QPqP/6P1/4p1K1/8 b - - 1 47	1398
4k3/p3bp1p/2p3p1/1p1r4/1P6/5P1b/P3BP1P/QN4KR w - - 1 23	826
r2q1rk1/pp3ppp/5b1B/3pp2b/8/1B1P1P2/PPP1QP1P/2K3RR w - - 2 16	1398
2k3r1/pp5p/2p1bRr1/4n3/1P1qP2Q/P1NB3P/2P3P1/5R1K b - - 2 26	834
r4r2/pp6/6k1/4R3/3Q2pP/P4bP1/1Pq2P1N/K2R4 w - - 5 30	793
1r3r1k/1B2npp1/p2p2qp/2P2b2/8/PR2B3/2P2PPP/3Q1RK1 w - - 1 24	1297
r5k1/p4pp1/2p1p3/q3P2Q/2Pb1P2/5R1P/P5PK/3N4 w - - 2 29	1073
4Q3/rkp5/1p1p2p1/pP2p1n1/P3P1q1/2P3P1/5PKP/R1R5 w - - 3 33	1398
8/8/7p/npN2Nk1/6Pb/5K2/P7/8 b - - 3 45	1398
2r5/pp1k2p1/6b1/3n2B1/3nNp2/P2P1P2/1PPQB1q1/2K1RR2 w - - 4 25	1398
3r1r2/p4kpp/1p2Rpn1/1Pbq4/2Q2P2/2B3P1/P1B3P1/5R1K w - - 0 31	852
8/1b6/3bk1p1/P2Np3/1p2P3/1N1KP3/8/8 w - - 2 50	1095
7k/1p2R1pp/1pp4r/7K/1P3r2/PB1P4/1QP2n2/4R3 w - - 6 42	857
r3r1k1/p1p2pp1/3q3p/2p1n3/5P2/1NPp2QP/PP4P1/3RR1K1 b - - 0 23	1398
8/8/4R3/1P6/5kP1/4pp2/8/1b2K3 w - - 4 59	1398
2r3k1/p4ppp/1p2p3/8/1P1BN1Pn/P4P2/2r4P/R2R2K1 w - - 1 24	1378
8/p2b1k2/2p2pp1/1p4p1/3PK3/2PB2P1/PP5P/8 w - - 0 29	1398
2R3k1/p3brpp/4Qn2/8/5q2/3p4/PP3PPP/4R1K1 b - - 1 24	870
6k1/p4ppp/4b3/q7/P7/5B2/1R1r1PPP/2Q1R1K1 b - - 0 24	918
rn4k1/ppq1rpp1/2p2pB1/8/3P4/1QP2P2/PP1B2Pb/R4R1K b - - 3 16	1290
r3r1k1/1p3ppp/p3b3/6q1/1P2Q3/PNR1P3/5PPP/2R3K1 w - - 5 23	1093
5bk1/p5p1/7p/1p3p2/2r2P2/1Q4PP/PB1q4/1R3R1K w - - 0 36	1120
8/8/8/pp4P1/3pk3/P5K1/1P6/8 b - - 0 43	1256
2r3k1/p3bpp1/7p/4N3/P6P/2p1P1P1/5PK1/2R5 w - - 0 39	1398
8/8/1p2k3/1p1p2p1/1P1K2P1/P1P5/8/8 w - - 3 42	1398
r7/1p1R1pk1/4pNp1/p1q1p1Pp/3nQ2P/PP3P2/1P6/1K6 b - - 2 30	1113
r1bq1rk1/1p1nbpp1/p3p3/3pP2Q/5B1P/2P2N2/PP3PP1/R3K2R b KQ - 3 14	1072
r1bq1rk1/pp1nnpbp/2pp2p1/4p3/2PPP3/1PN2N2/P3BPPP/R1BQ1RK1 w - - 1 9	1398
6kB/1p6/5p1p/1N1p4/2r5/4qPP1/1Q4KP/8 w - - 0 34	1134
rnb2r1k/ppq3pp/5n2/4pp2/2B5/2NPP3/PPP3PP/R2QK1NR w KQ - 0 10	1398
2k5/p4qpp/npp1p3/6Q1/3n1BP1/P7/1PP2P1P/2KN4 w - - 1 24	1398
r2q3k/1bp2rn1/p3pNQn/1p2P2p/3P4/P1P2R2/5PPP/R5K1 b - - 1 26	1076
8/8/5kp1/3R4/5p2/5Kp1/8/2rN4 w - - 3 60	1398
4r1k1/p4pp1/2p5/2Bp2RN/P1n3PK/3r3P/8/8 b - - 9 36	1407
r3r1k1/1p3ppp/p1n2n2/3p4/3P3P/1N3QPq/PP2BP2/4RRK1 b - - 6 20	1358
r1b1k2r/ppp1bppp/3p1q2/4p3/4P3/1PNP1N2/1PP2PPP/R2QK2R b KQkq - 2 9	1398
1k1r1r2/pp3p1p/1np1p1p1/8/3P4/R3Q2P/PPP1BPPq/2KR4 w - - 8 21	1398
5rk1/ppq2ppp/8/4n3/8/P3PQ2/1B3PPP/3R2K1 w - - 1 22	1195
3k1b1r/pp2p1pn/2p1P1Q1/8/3q2P1/1P1n1P2/P2N3P/3RK1NR w K - 2 23	1176
r4rk1/pp3pp1/3b3p/3b4/4pP2/4B1Q1/PqB3PP/R2R3K b - - 1 22	1316
r6k/1b2qBp1/1p2P1Rp/3p4/2pP4/p1P1Q3/2P3PP/6K1 b - - 0 27	870
8/6p1/1p6/1Np3kp/P1P5/5PK1/4rnPP/2R5 w - - 3 41	1198
2r5/2P5/2K5/3p4/3P1pk1/1R6/8/8 b - - 0 57	1005
1r2r1k1/4npp1/1pp1p2p/2BpP3/3P1PP1/7P/P7/1R2K2R w K - 0 23	1398
r3qr1k/p5p1/2p2b1p/3n1N2/8/3B2Q1/PP4PP/3R1RK1 w - - 6 25	1398
8/p3k1K1/4p3/5p2/1P3P1P/P7/b7/8 b - - 0 43	1398
r4rk1/3bq1pn/2p1p1QB/pp1pP3/3P4/2P2R2/PP1N2PP/2K2R2 w - - 0 21	1181
1r6/p6k/1b2N1p1/3pPpPp/P1nPrP2/1R6/7P/2R1B1K1 b - - 2 36	1344
1r1q1rk1/pb3p1p/1p1p1bpQ/8/1P1N3P/8/PBP2PP1/R3R1K1 b - - 3 18	870
5r1k/ppp3pp/8/2q5/1PB5/2P4P/P2B1b1P/R4QK1 w - - 0 23	1215
2kr1q1B/ppp5/2n5/3P1p1n/PbN3p1/3Q2Pp/5P1P/2R2RK1 b - - 0 24	1005
4R1k1/p1pQ2pp/1p6/6q1/5r2/5P2/P5B1/5bK1 b - - 1 30	870
2kr1b1r/ppp1pp2/2n2p1p/7b/4Nq2/3P1N1P/PPP1BPP1/R2Q1RK1 w - - 2 12	1398
8/4kp2/1p3p2/p1p4P/P1PpKPP1/1P6/8/8 w - - 1 43	1398
4k3/5p1Q/p1p1p1n1/4P3/P7/1P3N1R/6PK/3r1q2 b - - 0 38	1236
3Q4/1pp2ppk/3p4/8/1P1qP1RP/8/r5PK/8 w - - 4 33	1398
8/8/5p1p/4k2P/1P1p2P1/3K4/8/8 w - - 1 57	1032
r4rk1/p1p2ppp/3b2q1/8/3B4/2N2N1b/PPP2PP1/R2QR1K1 w - - 0 17	1317
2r3k1/p5pp/4bpn1/1p2p3/3pP1P1/P2P1PPN/1P1N4/1K5R w - - 0 23	1398
rnbqkb1r/ppp1pppp/3p4/2P1P3/2B5/2P5/PP3PPP/R1BQK1NR b KQkq - 1 7	1039
rn1qkb1r/1bp2ppp/p3pn2/1p6/3P1B2/2NBP3/PP3PPP/R2QK1NR w KQkq - 2 8	1398
7r/1pkr1p2/p2bp1p1/3p2Qp/N4N1P/P3q3/1PP5/1K1R1R2 b - - 1 23	849
r4rk1/ppQ3bp/4N1p1/3Pp3/2n1P3/2N1P2R/PP2Kq2/7R w - - 1 24	857
4r1k1/1pBR2p1/p4p1p/7Q/1P2q3/P1P1b2P/6P1/7K b - - 1 30	1415
7k/8/R5p1/6K1/6PP/8/p7/r7 b - - 0 48	1260
2r5/1p6/1P2k2p/p2RpNpP/Pb1pPp2/3K1P2/6P1/8 w - - 4 40	1398
rn3r1k/3qb1p1/p1p4p/1p6/5Q2/P7/BPPN2PP/4RRK1 w - - 1 20	1236
5rk1/p2rbppp/5n1q/4Q3/5N2/6PP/PP3P1K/R1B1R3 w - - 1 24	1398
r3r1k1/pp3pp1/2pqnn1p/3p4/3P4/2PB1QNP/PP3PP1/R3R1K1 b - - 8 16	1392
r5k1/2r2pp1/B3p2p/R1npP3/5P1P/R7/1PP3P1/2K5 w - - 1 23	1398
r1b1kb1r/p2n1ppp/3P4/qN1pp3/5Q2/8/PPP2PPP/2KR1BNR w kq - 0 12	1344
6k1/1p3pp1/p4np1/8/3Q2P1/4P2P/1B3P1K/1q6 b - - 2 34	1467
4r3/5kp1/p1p1q2p/5p2/2P1P3/1P4P1/P3Q2P/4R1K1 b - - 0 27	1364
1k3r2/ppp2r2/2n1Q3/2q5/8/2P5/P3NPPP/R4RK1 w - - 0 25	1378
r1b1k2r/pp1p2bp/4p1p1/q2nPp2/1nP5/P4N2/1P2QPPP/RNB1KB1R w KQkq - 2 13	1398
Q7/8/8/P7/4kpKp/7P/8/2q5 b - - 0 52	890
r2qk2r/1bpp1p2/4pP1p/p3P1pP/1p3nP1/1P1Q3R/PBP2P2/2KR1B2 w kq - 1 20	1398
4r1k1/5pp1/7p/2p5/1PPp1Pn1/B2P2Pq/3R3P/2Q3K1 w - - 1 33	1398
r4rk1/1pp1bppp/p2pnn2/8/P1BPPB2/2N4q/3Q1P1N/R3R1K1 w - - 2 17	1385
6k1/ppq3p1/4pr2/1b2Np2/1P1PpP2/P1r1P1QR/6PP/4R1K1 w - - 3 32	1398
3q1rn1/2r2p1k/1pP1pRpp/p3P1P1/7Q/2PB4/P1P4P/5RK1 w - - 1 25	1290
5R2/8/8/p4n2/8/P4kP1/5r1P/6K1 b - - 1 42	1331
4r1k1/p1R1ppbp/1n1P2p1/8/5P2/P2qBB1P/Q5P1/6K1 w - - 1 33	1398
rn1q1rk1/ppp3pp/3bp3/8/8/8/PPP2PPP/RNBQR1K1 w - - 0 12	1398
6k1/p2Q2pp/2p1pr2/q7/8/2P2P2/P1P2P1P/1R5K b - - 0 24	1337
R7/5ppk/1p4r1/1P6/5K2/2r5/B1PN4/8 w - - 2 35	1398
4r2k/1br1P1p1/8/p4B2/1p6/8/PKP5/3R3R b - - 6 35	870
r1b5/pppp3k/3b4/4n2p/3Q4/3r3P/PPP2KP1/RN6 w - - 0 23	1073
3rr1k1/pp2qpp1/2n2n1p/4p1Bb/3PR3/1BP2N2/PP3PPP/R2Q2K1 w - - 0 16	1398
6k1/5p2/6r1/ppp5/4P2Q/q2r4/2RR1KB1/8 b - - 1 38	1062
r2qkb1r/1p3ppp/4b3/1Np5/4QB2/4n3/PPP2PPP/R4RK1 b kq - 5 13	1209
1q6/4Q3/1p1P2pk/pb6/3pPPPp/P6P/1P6/6K1 b - - 0 36	870
r5r1/pp2Q1p1/2p1N1kp/q3P3/4P3/1pN4P/P1P3P1/2K2R2 b - - 0 21	918
r5r1/pp2qp1k/4p1p1/1Q1p3p/6n1/4PN2/PPR2PP1/2R3K1 b - - 1 24	1398
r1r3k1/2P3p1/p2p3p/1pp1p1q1/2n1Pp2/2PQ1B1P/P1P2PP1/1R2K2R b K - 2 24	1398
r1bq1rk1/1pp3p1/2n2p1p/p1b1p3/4P1P1/2P1BN1P/PP2QPB1/R3K2R b KQ - 1 12	1398
8/8/2p5/p1p1k3/Pp3p2/1PPP1P2/3K4/8 b - - 3 43	1398
8/p6r/1p1k4/8/4KR2/PP3p2/5Pb1/6R1 w - - 1 41	1026
r1b2rk1/pp1n1pp1/3q1n1p/4N3/2pP3B/7P/PP3PP1/R2QKB1R w KQ - 1 14	1398
8/8/5k2/pp1K4/8/1PP5/8/8 b - - 0 45	1148
1r3r2/2Q1n1kp/4Bqp1/3Pp3/2P5/8/5PPP/R4RK1 w - - 3 38	1209
2brqrk1/ppp2pbp/2n2np1/6N1/2P1p1P1/PP2P2P/1BQNBP2/2R1K2R w K - 1 16	1398
r3r1k1/p5pp/2p1p3/4P3/P1qp1P2/2P1n1P1/1BPQ3P/R3R2K w - - 2 28	1398
r1bq1rk1/pp3ppp/3b4/2pPB3/2P1Q3/8/PP3PPP/R3KB1R w KQ - 1 13	1398
R7/p4p2/4p2p/P2n1k2/7r/2p5/5PK1/2R5 w - - 0 39	971
2k2r2/p1pn4/4p3/4b1Q1/1pP1P3/1P3P1P/P4qP1/1K1R1N1R w - - 1 28	1283
r2qk2r/ppp1n1b1/3pQ1pp/8/8/2P1R3/PPP2PPP/R1B3K1 b kq - 2 15	1398
5rk1/7p/p2p2p1/p2P4/3QP1pq/7N/PP4P1/2R3K1 w - - 0 26	1046
3r1r1k/1R4p1/p6p/2b1p3/4B3/1Q6/P1P2qP1/1K5R b - - 1 28	1153
3r4/p6Q/7R/1p1kp3/n4p2/P1P2p2/1KP2P2/6r1 w - - 4 45	1032
rn1qkb1r/pp3ppp/4b3/2ppN3/B3n3/5Q2/PPPP1PPP/RNB1K2R b KQkq - 1 7	1005
2k4r/pp3ppp/2p5/3rq3/2Q5/B1R4P/P5P1/5R1K w - - 0 27	1324
5rk1/p1p2ppp/8/3P3Q/8/5R1P/PqPr1PP1/4R1K1 b - - 1 21	870
8/8/8/8/pk5K/8/6N1/8 w - - 0 54	1398
r2qr1k1/pp2bppp/2n2n2/3p1B2/3N1B2/P4P2/1PPQ2PP/4RRK1 w - - 1 18	1398
6k1/ppR5/4N1P1/8/4P3/1P6/PKP2rp1/4r3 b - - 0 29	870
r4r1k/1bpn1pq1/p2p4/1p3N1p/3P3P/5N2/PPPQ2P1/R3K2R b KQ - 0 18	1398
8/1bp1k1p1/4Pp1p/p3n3/Pp6/1B2N3/1PP3PP/6K1 b - - 1 23	1398
r1b3qk/1p5N/p3p3/2p4Q/P1Bb3R/3P4/2P2Pr1/1R4K1 w - - 0 27	876
4R3/7k/2p3pp/3n1K2/5P2/4p3/P5P1/8 w - - 0 42	1358
8/1R6/n7/2p5/2Pk4/P2pp3/1P6/2K5 w - - 0 44	1398
2rr1k2/pp5p/6p1/2b2p2/2RpPq2/1P1Q1P2/PB4PP/3R2K1 w - - 0 23	1398
r1b1k2r/pppp1ppp/8/2b1B3/2B1n3/1P6/P1PP2PP/RN3R1K b kq - 0 11	1398
5r2/p3q1pk/Q2p1r1p/2p1p3/4P3/5P1P/PP1R2P1/3R2K1 w - - 2 25	1398
r2q1r1k/2p2p2/p3pbpP/1p6/3BQ3/2P2N2/Pn2KPP1/R6R b - - 1 20	1338
1q3r1k/8/7p/2pPPQ2/1p1b1p2/1P3B1P/7K/6R1 w - - 2 51	1398
8/5k2/8/8/2KB4/4N1p1/3r4/8 w - - 6 69	1398
8/4kp1p/p3p1p1/2N5/1nP2P2/1P5P/1K4P1/2Br1nR1 b - - 1 33	1398
3R1rk1/pp2Qp1p/6p1/5bN1/q4P1P/2r1K3/P4PP1/5B1R w - - 6 23	1398
2q5/2k2r2/p2pNp1P/1ppP4/7Q/P2P4/1PP3K1/8 b - - 9 55	1202
r5rk/3b1p1p/p4Pp1/qp6/4PRn1/P1pBB2Q/2P3PP/R5K1 b - - 9 23	870
5rk1/5pb1/3R3p/q1p3p1/2P5/1P3Q1P/5PPB/r1R3K1 w - - 1 25	1398
8/2K5/8/5p2/1Pk5/2P5/8/8 w - - 0 49	1398
2r2r1k/1bq2pp1/p1p1pb2/1pQ1N3/3PB3/4P3/P4PPP/R4RK1 b - - 4 19	1044
5rk1/p4ppp/4p3/3r1q2/2R5/1Q2B3/PP6/5K1R w - - 2 35	1398
r3r1k1/1p2qppp/p1np4/3p4/3P2b1/P3B1P1/1PPQN1BP/R3K2R w KQ - 4 16	1398
1R6/7p/5ppk/6q1/5Q2/P6P/4r1P1/7K w - - 4 41	1398
2b5/6kp/p7/1p1n2K1/3N1p2/PP1N4/2P5/8 w - - 2 44	1398
8/5p1p/4P2P/2k2P2/pp6/2p3P1/P1K5/8 b - - 0 43	1161
8/1N6/8/p7/P1Ppk3/1P2p3/4K3/8 w - - 3 54	1276
4rrk1/1Qp2pp1/p2p3p/8/2q5/5P2/PPPR2PP/2K4R w - - 0 22	1175
r5k1/r5p1/4N2p/3Qp3/8/3R1PP1/p2R2KP/2q5 b - - 5 52	775
1r3k2/2p1r2p/3P1N2/5b1B/1p1q4/1Q1n4/5PPP/1R3RK1 b - - 0 35	959
8/8/6pp/2p5/2k3PP/5P2/5K2/8 w - - 0 42	1398
4rr2/5pkp/3p4/p1p2QPP/Pp1qP3/1P1P1R2/8/2R4K w - - 0 34	1398
2r4r/pp1Rkpbp/6p1/1Bq1p3/PQ3P2/8/1P2KP1P/8 b - - 7 23	951
5r2/5qk1/p3Rb1r/1p3Q1p/3PN3/P1P3P1/1P5P/2K2R2 w - - 4 34	985
4Qbk1/p4p1p/b5p1/3P4/3p1p2/3N4/PPq2PPP/R5K1 w - - 2 22	1215
1r2q1k1/1p1rB1p1/pR1P3p/2p2p2/2P1p3/P1Pn4/5PPP/3Q1R1K w - - 2 29	1398
8/6pp/p7/5k2/1PpKp3/P5P1/7P/8 w - - 0 34	1398
4rrk1/pp2q1pp/4p3/2P1p3/P1B3Q1/2P2R2/R1b3PP/7K b - - 3 25	1398
2rr2kb/pp3p1p/4p1pB/3n2N1/2P3P1/1P6/P1K1B3/2R4R w - - 0 24	1398
8/8/p3k3/Pp1p1p2/3PpPr1/1RP4r/4NK1p/5R1B w - - 6 44	1371
8/p1R3pp/3R4/2p1Pk2/2P5/1P4P1/P3q1KP/8 w - - 10 36	1398
2k2b1N/p1q3pp/8/8/1nK1Q3/4B3/PP2PPPP/5B1R w - - 3 26	876
1r1nR3/2pP1ppk/ppB4p/8/1q3PP1/7P/P1P2Q2/2K5 w - - 2 29	1012
r4r1k/pp1n2pp/2p1N3/4ppN1/1q1n4/3P3P/B1P2QP1/R4RK1 w - - 8 24	1154
2kr3r/pppq1pp1/2nbpn1p/3pNb2/3P4/2P1P1B1/PP1N1PPP/R2QKB1R b KQ - 3 10	1351
8/4k3/1p4P1/1P2K3/6Pp/8/8/8 w - - 0 59	1398
r1bq1rk1/1p1p1p1p/p4bp1/3NnP2/4P3/1PPB4/PQ3BPP/3R1RK1 w - - 5 24	992
1r4k1/1r4b1/b2p1p1p/2pP1Pp1/2P1P1P1/1P1Q1KN1/q2N2R1/7R w - - 5 33	1276
6k1/1b1p2pp/p3r3/1pq5/8/1Q3P2/PPP1R1PP/R5K1 w - - 3 27	1263
8/1R6/3PB1p1/1pp3k1/3p2P1/8/3rb3/K7 b - - 0 44	1378
8/pp2k2r/2pbpp2/3q4/3P4/1P2PN2/4RRQP/7K w - - 6 34	890
r3k1nr/pp1nqpp1/2pbp1b1/6Np/2BP3P/8/PPP1NPP1/R1BQK2R w KQkq - 6 11	1398
2r1k2r/p4qpp/1pp5/2b1p3/1P6/6P1/PB3P1P/2RQ1RK1 b k - 0 22	1331
1rr3k1/p1n1qppp/4n3/1b2P3/8/6P1/PPQ1NPBP/R1BR2K1 w - - 7 19	1134
8/8/8/4p2p/5p1P/1k3P2/4K1P1/8 b - - 1 53	1398
2R5/8/2P2p1p/8/5kP1/7P/2r5/7K w - - 1 42	992
1k4r1/pP6/4p1r1/3pP3/P4P1p/2N1n3/5RPK/2R5 w - - 0 35	1398
rk6/8/p1Q4p/2pnP3/P2q2p1/N5P1/1P3R1P/6K1 w - - 4 33	856
3r2k1/1p6/p1q2bp1/P1n4p/2P2P1P/R1P1p1P1/2Q3K1/3N1N2 w - - 0 34	1398
3r2k1/5ppp/3rp3/8/BR1P4/4n1P1/PP4PP/2R3K1 w - - 1 29	1398
2k5/p4p2/Pp1p4/2pPp3/4Ppqb/R3r3/1PPNN2Q/5K2 w - - 8 30	1378
1rb1r1k1/1p3ppp/2nPp3/pBp5/Pq6/3PRN2/5PPP/R2Q2K1 b - - 0 22	1100
r1bqk2r/p2n2pp/2p1pp2/3pP3/1b3P2/2NBB3/PPP3PP/R2QK2R b KQkq - 1 11	1317
r5k1/5pp1/2P1b3/1P5p/1PP5/5N1P/4BPP1/5K2 w - - 3 33	1046
rnb2rk1/pp3p1p/3p1Q2/2pP4/4q3/8/PP2BPPP/2KR2NR b - - 0 13	1118
r7/5pp1/5kp1/2np4/3p2P1/2P4P/p1R1KP2/R7 w - - 0 35	1398
r4rk1/ppp2ppp/7q/3PR3/5p1b/2PQ1B1P/PP3PP1/R5K1 b - - 0 20	1176
2Q1nrk1/p4ppp/P3p3/3pq3/1r6/1PN5/2P2PPP/3RKB1R w K - 0 20	1398
8/8/Rpk5/2r5/P7/2P5/2K5/8 w - - 5 54	1398
r1bqk2r/pp6/4pb2/nP1pNn2/P1pP1PQ1/2P3P1/6KP/RNB2R2 b kq - 0 18	1145
rn3rk1/1bp2ppp/p2q4/1p6/3P2n1/3BBN2/PP3PPP/R2Q1RK1 w - - 2 15	1061
r1b2rk1/ppp2ppp/3p1q2/2b1n3/3NPn2/2P1BN1P/PP2BPP1/R2Q1RK1 b - - 2 12	1398
8/8/3K1p1p/8/5P2/6P1/7k/8 w - - 0 41	1398
5b1k/2R4p/4Qnp1/3p4/2bP1q2/2N5/Pr3PPP/4R1K1 w - - 10 25	849
6k1/1b1q2bp/1p1p2p1/p2P1p2/P1Pp1P2/1P1Pr3/1B2R1BP/4Q1K1 b - - 2 23	1215
6k1/2R2pp1/1p6/p7/P3q1NP/2Pb4/1P5K/3BB3 w - - 1 35	1337
r3kb1r/1ppn1ppp/p1np1q2/4p1Bb/4P3/1BPP1N1P/PP1N1PP1/R2QK2R b KQkq - 5 10	1229
r1r3k1/p1P2ppp/1nQBp3/3p4/8/2P1PPP1/PP4qP/R3KR2 w Q - 5 21	1032
1r3rk1/R4pp1/1p2pn1p/8/1P2B3/2P1q3/2Q1N1PP/4KR2 b - - 0 21	1398
r5k1/ppp2pbp/3p2P1/4r1q1/2P5/2NQP3/PP3PP1/2KR3R b - - 0 16	1344
r1b2rk1/ppp2pp1/5q1p/3Pp3/2P3nP/2P3P1/P4PB1/R1BQR1K1 w - - 3 15	1358
2k4r/pN1p3p/1p4p1/2pn4/2P3Bq/3P4/PP5b/R1BQ1R1K w - - 1 20	1093
rn1q1rk1/ppp2ppp/3b1n2/3P1b2/8/2NN4/PPP1BPPP/R1BQK2R w KQ - 5 9	1398
r3k2r/p2p1p2/1p1Pp2p/3n2p1/1n1PQ3/1q2N1B1/5PPP/2R2RK1 b kq - 0 21	1411
r5k1/1p3ppp/p3b3/8/3Q2n1/2P2B2/PP1N1qPP/R1B2r1K w - - 0 26	849
6r1/5p2/3kp3/p4p2/Pp1p1P1P/8/1P2NKn1/6R1 w - - 0 37	1398
2rr2k1/pp1q1pp1/3b3p/P2Q4/1P1N4/4P1P1/1B1n1PKP/R1R5 b - - 2 22	1087
R7/1k1r4/2p1K1pp/2Pp4/8/7P/PP4P1/8 w - - 0 36	1398
3r3k/p5pp/q2b1p2/P1pQ4/3P1P2/2P2R1P/1P2n1P1/R1B3K1 w - - 3 27	1249
8/8/8/2Pb4/1Pk5/K3R3/P2r4/8 w - - 9 52	1276
2r2rk1/ppq2pb1/2n1b3/6Q1/4N3/3B2PP/PP4P1/3R1R1K b - - 0 27	1145
rnb1kr2/ppQ5/8/3pP3/4n3/4P1Pq/PPP1B2P/RNB1K2R w KQq - 3 14	1364
r1b3k1/pp2bpp1/1q2pn2/6N1/2P1N2Q/3R4/PP3PPP/6K1 b - - 0 19	870
7k/2p2r1p/3p2pQ/2pPp3/2P3bP/1P4P1/5qBK/R7 b - - 1 33	870
1r4k1/6pp/2b1p3/p1p1b3/P1R2N1P/2Pp4/1P3RPK/8 w - - 0 32	1398
r1bq1bnr/pp2p1p1/2np3p/2p3kP/3PP3/8/PPP2PP1/RNBQK2R b KQ - 0 8	870
r3k2r/3qnppp/8/2bpP1B1/1p1n3P/pPNP4/P1PQ1PB1/2K1R2R w kq - 0 20	1398
3R1k2/1b2rB1p/p4bpN/2q5/p3ppQ1/P1P5/1P4PP/7K b - - 2 29	870
2r4r/1k1b1p1p/R2B2p1/8/1PB1P2b/1K1P1P2/q7/2R5 w - - 0 36	1141
r4rk1/1b3pbp/ppn1p1p1/3q4/3P4/3BBN2/PP3PPP/R2QR1K1 b - - 1 14	1398
r3k2r/pp3ppp/2p1p3/n7/1q1P2b1/4P1P1/2QN1PP1/2R1KB1R b Kkq - 2 18	1415
6k1/5pp1/p6p/R1brP3/2bN1P2/2B5/1P3K1P/8 w - - 4 46	1398
4R3/5p2/3Qnkp1/7p/4p2P/P4BP1/qr4PK/8 w - - 0 36	1371
6k1/pp3np1/2p3BB/3p1P1R/3q4/P7/1P5Q/1K2r3 w - - 1 30	1398
8/pR2Q3/k1p4p/3p4/8/5qp1/8/6K1 w - - 0 45	937
8/6pk/4p1rp/8/4Qp1q/5RP1/5PK1/8 b - - 1 40	1175
r1b1kb1r/pp1p1ppp/2n1p3/q7/3P1B2/P1n1P3/1PQ2PPP/R3KBNR w KQkq - 0 9	1398
r5k1/ppp3p1/4b1Q1/3p4/3n1q2/8/PPP2PP1/1K2R2R b - - 3 20	1145
r3k1nr/ppp2ppp/2n5/6q1/Q3B1b1/2N5/PP1PPP1P/R1B2RK1 w kq - 2 12	1270
r2qk2r/1pp2pp1/2p1b3/4P3/1p3Bp1/2NP4/1PPQ1PPP/1K1R3R w kq - 0 16	1398
2kr4/ppp5/7p/7Q/3nN2P/6Pq/PPP1PP2/R5K1 w - - 1 26	879
6rk/3q1p1p/5PpQ/8/2pp1R2/1nP3N1/1P4PP/6K1 b - - 3 30	870
2rq1rk1/1p2bppp/p1n1p1b1/3pN3/3P1B2/P4P2/1PPQN1PP/2R2RK1 b - - 2 16	1398
5r2/4p1kp/4qpp1/3n2N1/3QN3/8/P3bPPP/2R3K1 b - - 3 28	1127
2r5/p1Bk1p1p/6p1/8/1n1P4/4P3/P2K1PPP/7R w - - 0 23	1398
r4rk1/1R3ppp/p1p1p3/2PpP3/2qP3R/5P2/5PK1/3Q4 b - - 0 25	1380
rnbqk1nr/ppp2ppp/4p3/8/1b2P3/2Np1N2/PP1B1PPP/R2QKB1R b KQkq - 3 6	1398
8/5rp1/7p/p4P1P/1p1k2K1/1P6/P1p1R2b/2B5 b - - 1 41	1398
r2r2k1/1ppQ1ppn/1pn4p/4p3/2P1P3/1P2qPP1/PB2NRBP/R5K1 w - - 3 17	1398
8/4q2k/p3Q1p1/2P4p/4b2P/1B6/P5r1/4RK2 b - - 1 37	1277
r2qk2r/pp1n1pp1/2pbp2p/4N3/3P1P1P/4Q1N1/PPP3P1/R4RK1 b kq - 0 15	1398
7k/4Q3/5Np1/1p2p2p/4n3/P6P/1P3bP1/3r1K2 w - - 2 37	849
2b1r3/6kp/5pp1/1r1Pp3/1ppq1P1N/6QP/PP4P1/3RR2K b - - 3 28	1331
r3r1k1/p4q2/1p2R2p/2p2B1P/1nQb1Pp1/6P1/PP1N4/5R1K w - - 3 29	1107
3qk2r/2pnbppp/2R1p3/8/4P3/1PNQ4/5PPP/r1B1K1NR w Kk - 1 14	1331
7k/5r2/p3p2p/1pBbPqp1/1Pp2PR1/P6P/5QP1/6K1 w - - 0 41	1175
7k/6p1/P3Q3/3B4/2P4p/6qP/r4rP1/6RK w - - 1 43	870
2r3k1/b1q2pp1/p3rn1p/1p1p4/4P3/1B4NP/PP3PP1/R2QR1K1 w - - 0 23	1398
1k5Q/pp3p2/7p/P7/1Rr1qp2/8/5PPP/6K1 b - - 0 26	1093
k4r2/3RQpb1/5pp1/pq4Pp/1p2P2P/8/bPP5/2K1R3 b - - 3 34	970
