FEN	Rating
r3r1k1/p1p3pp/1pnp1q2/7b/4P3/3Q1N1P/P2N1PP1/1R2R1K1 b - - 1 18	1398
8/8/8/7p/5p1k/7P/5PK1/8 b - - 2 46	1168
8/8/8/1p1k2p1/1Pp1p1Pp/2P1P2P/1n1K4/5N2 w - - 10 54	1398
8/pp3p1p/5p2/4pPk1/6P1/P1PP3P/3K4/8 b - - 0 24	1398
8/pp4p1/1q2pbBp/3p4/bP6/P1k3N1/6PP/2Q4K b - - 13 33	1112
r3k1nr/ppp2pBp/3p4/2b5/4P1bq/5Q2/PPP2PPP/RN2KB1R w KQkq - 3 9	876
r3qrk1/4p1b1/p4n2/3pP1Np/1p4bP/2PQB3/PP3PP1/R3K2R b KQ - 0 17	1244
8/8/p5p1/Rr5p/1PK1pk1P/8/5P2/8 w - - 0 43	1398
4rrk1/pppq1pp1/2nb2bp/3p4/3P2PN/2P4P/PP2BP2/R2QRNK1 w - - 1 16	1398
5rr1/kp1R4/p3N2p/n7/1b3B2/5R2/7P/7K b - - 3 37	1398
r3k2r/1pp1qppp/1bb5/3nN3/P7/2PP4/5PPP/RNBQK2R w KQkq - 1 13	1398
4r1k1/8/2pBn2p/P3Ppp1/2Np4/1P1P3P/2P5/6K1 b - - 0 35	1398
1r1q2k1/1p1b1r1p/p2p1bpB/2pPp3/P1P1B3/5P2/1PQ3PP/R4RK1 w - - 7 21	1398
r1b2k1r/p5pp/2qN4/1p2Pp2/1Q6/3p4/PP5P/R4RK1 b - - 1 24	883
8/8/2p2p2/2p1PPp1/1p6/1P1P1k2/2P3r1/3KR3 b - - 0 63	849
4r1k1/p3q1pp/2R5/3p4/8/5r2/P1B1b1PP/2R1Q2K w - - 0 24	1398
r4rk1/pppq1pp1/2nb1n1p/4p1N1/7P/PPNQP3/1B1P1PP1/R3K2R b KQ - 0 13	1293
4r1k1/p3qp2/1p2p2Q/3pP1p1/PR6/7P/r5P1/1R5K b - - 4 27	1381
r4r2/p4p1p/1p1p2pk/2n2N2/7q/1P3n2/PQ3P1P/3R2RK b - - 3 25	854
8/8/4k2p/1p2p1p1/1P2K1PP/6P1/8/8 b - - 0 40	1398
5k2/p5pp/b3p3/2p1P1b1/2Np1n2/PP1K1BB1/2P3PP/8 w - - 2 29	1095
2b5/2N1k1b1/8/4N3/1p3K2/8/1P6/8 b - - 1 40	1398
6k1/1b3pbp/2p1p1p1/1pPpN3/qP1P4/4P2P/4QPPB/rR4K1 w - - 3 29	1154
8/2p5/Pkn3Q1/qp6/8/7P/4prPK/2R5 b - - 5 40	1082
2rq1r2/3b1kbQ/p2p2p1/3np3/1p2P1P1/4BP2/PPP5/2KR1B1R w - - 1 19	1398
4r1k1/5pp1/7p/3pq3/2p5/P1P4P/1PQ2PP1/1R3K2 w - - 0 29	910
7Q/8/8/8/4q1pk/8/8/6K1 b - - 13 65	991
3r2k1/3P3p/4r3/4b1p1/4R1P1/5P1P/8/3R2K1 b - - 2 35	1398
4r1k1/1b1q2pp/p2p4/1p1Pp3/1P2p1B1/P3Q1PP/5P2/2R3K1 b - - 1 25	876
r2q1rk1/1p2bppp/1n1p4/p7/P1P3Q1/2NP4/1P3PPP/R1B2RK1 w - - 1 14	1364
6k1/p4p1p/2P2bpB/8/PPr5/3p4/6PP/1R5K w - - 1 28	1398
6k1/5pp1/4b3/3pQ2P/1p6/p4R2/5PPK/2q5 w - - 0 42	1398
8/p5kp/Pn2p1p1/R2pP1P1/2pP4/2P1Bn1q/7P/1Q3R1K w - - 1 42	971
r3r1k1/pp3ppp/2p1qb2/8/5Q2/P1NR4/1PP2PPP/3R2K1 w - - 1 20	1398
8/7k/6Rp/5Kp1/6P1/2P4r/8/8 w - - 2 63	1398
2r3R1/1p3R2/p2kp3/7P/b2B4/2P1P3/PP5r/1K6 w - - 14 39	971
2r2rk1/pp4b1/3p1q1p/3P1p2/2n2P2/P1NQ3P/1P1B2P1/R4RK1 w - - 1 24	1398
q4rk1/pR3p1p/2Qp2p1/2p5/8/2P3PP/b1P2P2/2K4R w - - 2 21	1317
5k2/4p3/3p1p2/2nP3B/4P2P/1R2P3/2r5/4K3 w - - 1 38	1398
r4k1r/pbp3p1/1pn1P1B1/3pPQ2/3P1b1q/2P5/PP4KP/R4R2 b - - 2 22	870
5rk1/1p1P1ppp/8/2BqN2b/8/4Q2P/P5PK/8 b - - 0 32	1268
6rk/6p1/p1pQ4/2P1p3/6q1/1P6/3R1P2/5K2 b - - 1 44	1214
5r2/1pp2r2/p2p2k1/3Pn1qp/5p2/2Q2B1P/PPP2RPK/4R3 w - - 0 28	1398
8/4kp2/p7/2pPK3/2P5/5P2/P6R/2r5 b - - 0 40	1358
4r1k1/p7/1p4pp/8/3R1p1q/P1P1r2P/1P1Q2P1/3R2K1 w - - 0 35	1358
8/5pk1/7p/6p1/2N5/pR1K2PP/nb6/8 w - - 0 50	1398
r2r3k/1q2b1pp/3p1p2/1p6/1P2PP2/4Q2P/5BP1/R2R2K1 b - - 8 33	1351
3r1q1k/pp5p/4R3/3nQ3/3P4/7P/1r3PP1/4R1K1 b - - 4 29	985
rnbqkb1r/ppp1pppp/3p4/8/4nP2/2P2N2/PP1P2PP/RNBQKB1R b KQkq - 0 4	1398
rn1qkbnr/pbpp1ppp/8/1p2p2Q/4P3/1B6/PPPP1PPP/RNB1K1NR b KQkq - 3 4	1337
3r2k1/RR3p2/2p5/4p2p/4K1rP/2P1P3/P1P2P2/8 w - - 2 31	1276
8/7k/p3N2p/P7/6n1/6P1/1Pr2PKP/3R4 w - - 5 48	1127
8/5k1p/2p1n1p1/1p1p2P1/1P1BpP1P/5PK1/2P5/8 w - - 1 38	1398
1r3rk1/7p/3qpPp1/2p5/1pP1P1P1/5Q1P/6R1/5R1K b - - 0 31	1107
rnbqk1nr/p1p2ppp/1p2p3/3p4/3P1P2/2P5/PP1N1PPP/R2QKBNR b KQkq - 0 6	1385
r3k2r/pp3ppp/8/1N6/1nb5/8/1P1B1PPP/R5KR b kq - 3 19	1398
r2qn1k1/pp3rb1/4B1p1/2p3Np/4P2Q/7P/PPP3P1/R6K b - - 0 20	1039
